A,Verb,B,Count
substrate retainer,dispose,thermal insulating unit,3
thermal insulating unit,configure,process chamber,3
thermal insulating unit,heat,process chamber,3
purge gas supply unit,configure,thermal insulating unit,3
purge gas supply unit,supply,thermal insulating unit,3
fin structure,have,dielectric material,3
fin structure,cause,dielectric material,3
fin structure,grow,dielectric material,3
fin structure,abut,dielectric material,3
drain region,oppose,gate structure,3
semiconductor substrate,include,semiconductor material,3
bipolar junction transistor,include,base region,3
base region,have,first band gap,3
collector regions,oppose,base region,3
base region,wherein,collector,3
collector,be,band,3
collector,comprise,band,3
collector,have,band,3
dielectric region,be,base region,3
dielectric region,underlie,base region,3
dielectric region,have,inverted apex geometry,3
dielectric region,extend,inverted apex geometry,3
second oxide semiconductor layer,use,gate electrode layer,3
sidewall insulating layer,be,gate electrode layer,3
sidewall insulating layer,form,gate electrode layer,3
conductive layer,be,gate electrode layer,3
conductive layer,form,gate electrode layer,3
polymeric moiety,be,monovalent residue,3
electronic component,form,organic resin layer,3
chuck table,be,laser beam,3
plasma etching,fabricate,semiconductor device,3
desorption step,desorb,reaction layer,3
first surface roughness,be,second surface roughness,3
stepped structure,have,surface,3
Semiconductor devices,include,semiconductor fin,3
interlayer dielectric,be,gate stack,3
cryogenic fluid mixture,use,exposed surface,3
cryogenic fluid mixture,treat,exposed surface,3
semiconductor equipment,include,static electricity sensor,3
semiconductor structure,include,fin active region,3
fin active region,extrude,semiconductor substrate,3
gate stack,dispose,fin active,3
gate dielectric layer,include,first dielectric material,3
semiconductor structure,include,dielectric gate,3
material,dispose,fin active,3
second dielectric layer,dispose,etch stop layer,3
dielectric layer,be,fin structure,3
dielectric layer,form,fin structure,3
dielectric cap,be,gate structure,3
layer,form,conductive layer,3
semiconductor manufacturing apparatus,be,aluminum nitride,3
device,include,patterned region,3
patterned region,include,exposed surfaces,3
exposed surfaces,support,unpatterned region,3
substrate processing apparatus,include,first processing module,3
second exhaust box,be,area,3
second exhaust box,dispose,area,3
second exhaust box,face,area,3
area,locate,maintenance area,3
area,dispose,maintenance area,3
area,face,maintenance area,3
semiconductor device,include,semiconductor element,3
semiconductor device,include,memory region,3
embodiment,comprise,nested fins,3
patterned hard mask,comprise,isolated features,3
nested features,be,hard mask etching process,3
nested features,form,hard mask etching process,3
substrate etching process,isolate,nested fins,3
semiconductor wafer,be,optical axis,3
adhesive layer,be,carrier substrate,3
micro device,pick,carrier substrate,3
receiving substrate,place,micro device,3
substrate processing method,perform,substrate processing apparatus,3
buffer tank,vaporize,switch valve,3
semiconductor device,transfer,process chamber,3
semiconductor device,store,process chamber,3
process chamber,perform,substrate processing,3
substrate processing,receive,process chamber,3
process chamber,perform,maintenance,3
maintenance,be,substrate,3
maintenance,receive,substrate,3
substrate processing,complete,process chamber,3
substrate processing,stop,process chamber,3
substrate processing,transfer,process chamber,3
semiconductor memory device,include,stacked body,3
stacked body,include,conductive layers,3
source,include,semiconductor layer,3
semiconductor layer,include,impurity,3
stacked body,include,insulator,3
stacked body,stack,insulator,3
semiconductor body,do,gate layer,3
semiconductor body,contact,gate layer,3
semiconductor device,include,semiconductor base,3
dielectric isolation structure,be,semiconductor base,3
dielectric isolation structure,form,semiconductor base,3
FinFET transistor,be,semiconductor base,3
FinFET transistor,form,semiconductor base,3
bottom segment,be,semiconductor base,3
bottom segment,embed,semiconductor base,3
bottom segment,be,dielectric isolation structure,3
bottom segment,separate,dielectric isolation structure,3
exposure,be,cooling buffer unit,3
charged particle beams,use,material deposition,3
charged particle beams,process,material deposition,3
column control processes,perform,design layout database,3
column control processes,image,design layout database,3
column control processes,write,design layout database,3
column control processes,designate,design layout database,3
transfer robot,provide,circulation path,3
transfer robot,include,circulation path,3
circulation path,form,transfer chamber,3
base substrate,form,mask layer,3
conductive pad,comprise,upper,3
barrier layer,be,conductive pad,3
conductive pad,space,conduct,3
sacrificial substrate,be,handle substrate,3
sacrificial substrate,bond,handle substrate,3
Semiconductor devices,be,FinF,3
Semiconductor devices,provide,FinF,3
Semiconductor devices,fabricate,FinF,3
FinF,have,uniform fin height profiles,3
FinFET devices,be,gate oxide removal process,3
FinFET devices,obtain,gate oxide removal process,3
FinFET devices,implement,gate oxide removal process,3
gate oxide removal process,be,isolation layer,3
gate oxide removal process,design,isolation layer,3
gate oxide removal process,prevent,isolation layer,3
layer,form,gate structures,3
vertically integrated multiple nanowire channels,form,interlayer dielectric layer,3
semiconductor device,form,semiconductor material,3
substrate processing apparatus,include,holding unit,3
accelerated neutral beam,derive,accelerated gas cluster ion beam,3
semiconductor device structure,include,semiconductor substrate,3
semiconductor chip,be,interlayer insulating film,3
gate structure,form,channel region,3
semiconductor device,comprise,flash memory cell,3
first gate material layer,comprise,first gate material,3
gate insulating film,dispose,substrate,3
gate insulating film,form,substrate,3
second,comprise,substrate,3
second,etch,substrate,3
second,expose,substrate,3
gate insulating film,provide,side walls,3
side walls,etch,gate insulating film,3
first,form,gate structures,3
semiconductor memory,include,word lines,3
semiconductor memory,nth,word lines,3
semiconductor memory,string,word lines,3
semiconductor memory,be,word lines,3
memory string,include,memory cells,3
plasma etching device,provide,gas introducing hole,3
impedance meter,configure,active species,3
rotary shaft,be,rotary table,3
heating assembly,face,rotary chuck,3
heating assembly,position,rotary chuck,3
liquid dispenser,position,rotary chuck,3
liquid dispenser,dispense,rotary chuck,3
liquid dispenser,face,rotary chuck,3
dispensing orifices,configure,rotary chuck,3
dispensing orifices,move,rotary chuck,3
radiant heating elements,base,liquid dispenser,3
ceramic base body,be,heating resistor,3
carrier tape systems,include,carrier tape substrate,3
cover tape,be,carrier tape substrate,3
cover tape,attach,carrier tape substrate,3
carrier tape substrate,impart,vibration,3
cover tape,impede,semiconductor devices,3
semiconductor devices,carry,carrier tape substrate,3
carrier tape substrate,adhere,cover tape,3
carrier tape substrate,adhesive,cover tape,3
application time recording step,record,etching step,3
semiconductor fin,form,gate spacers,3
first substrate,form,semiconductor layer,3
insulating layer,pattern,semiconductor layer,3
semiconductor layer,expose,insulating layer,3
insulating layer,form,semiconductor structures,3
first substrate,wherein,semiconductor structures,3
semiconductor structures,include,conductive contacts,3
conductive layer,join,semiconductor structures,3
semiconductor structures,perform,thinning process,3
thinning process,expose,insulating layer,3
conductive contacts,form,conductive wiring layer,3
conductive wiring layer,expose,insulating layer,3
semiconductor substrate,have,semiconductor strips,3
second,be,isolation region,3
second,form,isolation region,3
semiconductor device,include,cap layer,3
application operation,be,liquid surface,3
insert electrode,be,insert hole,3
light source,emit,spectral measurement volume,3
semiconductor substrates,include,semiconductor processing chamber,3
semiconductor substrates,flow,semiconductor processing chamber,3
gate electrode,form,gate insulating film,3
fin structure,be,gate structure,3
interlayer dielectric layer,be,metal gate stack structure,3
interlayer dielectric layer,form,metal gate stack structure,3
Faraday shield,be,dielectric window,3
wafer,deposit,gate spacer layer,3
gate spacer layer,use,Atomic Layer Deposition,3
gate spacer layer,include,ALD cycle,3
gate spacer layer,perform,ALD cycle,3
ALD cycle,form,dielectric atomic layer,3
ALD cycle,include,silylated methyl,3
wafer,purge,sily,3
sily,lated,ammonia,3
sily,introduce,ammonia,3
wafer,purge,ammonia,3
array substrate,include,gate electrode,3
processing liquid,form,liquid film,3
cleaning liquid,be,cleaning nozzle,3
processing chamber,include,interior volume,3
processing chamber,have,interior volume,3
integrated,include,gate structure,3
gate structure,perform,gate cut process,3
gate cut process,separate,first gate structure,3
virtual metrology,predict,spatial distribution,3
semiconductor device,include,mask,3
semiconductor device,form,mask,3
etch stop layer,include,metal oxide,3
substrate processing apparatus,include,substrate holding part,3
top plate,be,chamber,3
top plate,attach,chamber,3
chamber cover,be,chamber body,3
chamber cover,be,annular opening,3
chamber cover,move,annular opening,3
annular opening,be,chamber cover,3
annular opening,form,chamber cover,3
cup part,be,annular opening,3
cup part,position,annular opening,3
processing liquid spattering,be,cup part,3
processing liquid spattering,receive,cup part,3
second film,purge,processing container,3
